############################################## Test 1 ##############################################

-----------Printing RowByCol-----------------
image[00][00] |		r = 0xF |	 g = 0x1F |	 b = 0xF |
image[00][01] |		r = 0xF |	 g = 0x1F |	 b = 0xF |
image[00][02] |		r = 0xF |	 g = 0x1F |	 b = 0xF |
image[00][03] |		r = 0xF |	 g = 0x1F |	 b = 0xF |
image[00][04] |		r = 0xF |	 g = 0x1F |	 b = 0xF |
image[00][05] |		r = 0xF |	 g = 0x1F |	 b = 0xF |
image[00][06] |		r = 0xF |	 g = 0x1F |	 b = 0xF |
image[00][07] |		r = 0xF |	 g = 0x1F |	 b = 0xF |
image[00][08] |		r = 0xF |	 g = 0x1F |	 b = 0xF |
image[00][09] |		r = 0xF |	 g = 0x1F |	 b = 0xF |
image[00][10] |		r = 0xF |	 g = 0x1F |	 b = 0xF |
image[00][11] |		r = 0xF |	 g = 0x1F |	 b = 0xF |
image[00][12] |		r = 0xF |	 g = 0x1F |	 b = 0xF |
image[00][13] |		r = 0xF |	 g = 0x1F |	 b = 0xF |
image[00][14] |		r = 0xF |	 g = 0x1F |	 b = 0xF |
image[00][15] |		r = 0xF |	 g = 0x1F |	 b = 0xF |
image[00][16] |		r = 0xF |	 g = 0x1F |	 b = 0xF |
image[00][17] |		r = 0xF |	 g = 0x1F |	 b = 0xF |
image[00][18] |		r = 0xF |	 g = 0x1F |	 b = 0xF |
image[00][19] |		r = 0xF |	 g = 0x1F |	 b = 0xF |
image[00][20] |		r = 0xF |	 g = 0x1F |	 b = 0xF |
image[00][21] |		r = 0xF |	 g = 0x1F |	 b = 0xF |
image[00][22] |		r = 0xF |	 g = 0x1F |	 b = 0xF |
image[00][23] |		r = 0xF |	 g = 0x1F |	 b = 0xF |
image[00][24] |		r = 0xF |	 g = 0x1F |	 b = 0xF |
image[00][25] |		r = 0xF |	 g = 0x1F |	 b = 0xF |
image[00][26] |		r = 0xF |	 g = 0x1F |	 b = 0xF |
image[00][27] |		r = 0xF |	 g = 0x1F |	 b = 0xF |
image[00][28] |		r = 0xF |	 g = 0x1F |	 b = 0xF |
image[00][29] |		r = 0xF |	 g = 0x1F |	 b = 0xF |
image[00][30] |		r = 0xF |	 g = 0x1F |	 b = 0xF |
image[00][31] |		r = 0xF |	 g = 0x1F |	 b = 0xF |
